qty__sum_values,qty__median,qty__mean,qty__length,qty__standard_deviation,qty__variance,qty__root_mean_square,qty__maximum,qty__absolute_maximum,qty__minimum
5341.3536585365855,30.0,32.176829268292686,166.0,18.270371029003954,333.80645753746694,37.00209182327836,87.0,87.0,3.0
905.9146341463414,5.0,5.4573170731707314,166.0,3.574256363396208,12.775308551278284,6.523620021766983,17.0,17.0,0.0
9013.0,53.5,54.295180722891565,166.0,19.16141582171423,367.15985629264037,57.57713527107871,99.0,99.0,5.0
2053.369696969697,10.5,12.369696969696971,166.0,8.748303961219138,76.53282219788245,15.150650986674231,39.0,39.0,0.0
3641.878048780488,18.5,21.939024390243905,166.0,14.974957055654263,224.24933881868938,26.56257009429634,68.0,68.0,1.0
523.4601226993865,3.0,3.1533742331288344,166.0,2.612718710706489,6.826299061275778,4.095127362541565,12.0,12.0,0.0
2839.207317073171,15.0,17.103658536585368,166.0,10.58051112621864,111.94721569203644,20.111746593176484,51.0,51.0,0.0
6032.358024691358,30.5,36.339506172839506,166.0,20.075209065888192,403.0140190391195,41.51594546586841,107.0,107.0,4.0
3687.4268292682927,20.0,22.213414634146343,166.0,11.979281936312708,143.50319570966795,25.237650156426504,62.0,62.0,0.0
1951.7575757575758,10.5,11.757575757575758,166.0,7.50192867984548,56.278933917488146,13.947025547141632,35.0,35.0,0.0
346.3456790123457,1.0,2.08641975308642,166.0,2.484639708017113,6.173434478655364,3.2444694273061905,16.0,16.0,0.0
285.6024844720497,1.0,1.720496894409938,166.0,1.9301388305277751,3.7254359051111274,2.585642177252175,8.0,8.0,0.0
3294.6951219512193,19.0,19.847560975609756,166.0,9.060435979958646,82.09150014692918,21.817817875018495,47.0,47.0,4.0
2115.745454545455,12.0,12.745454545454546,166.0,7.308729345380814,53.417524644030664,14.692315549779028,38.0,38.0,0.0
5665.256097560976,33.0,34.12804878048781,166.0,15.742718909014782,247.83319864825154,37.58399808710625,85.0,85.0,3.0
718.6585365853658,3.0,4.329268292682927,166.0,3.942523435227749,15.54349103732001,5.855429530559629,17.0,17.0,0.0
2177.4691358024693,1.5,13.117283950617285,166.0,23.5408861966009,554.1733229213148,26.94877476180386,128.0,128.0,0.0
573.9146341463414,2.0,3.4573170731707314,166.0,3.916832088757348,15.341573611519248,5.2244248445122725,18.0,18.0,0.0
