qty__sum_values,qty__median,qty__mean,qty__length,qty__standard_deviation,qty__variance,qty__root_mean_square,qty__maximum,qty__absolute_maximum,qty__minimum,seller_category,inventory_category,seller_level,category1,category2,category3,warehouse _category,warehouse _region
5341.3536585365855,30.0,32.176829268292686,166.0,18.270371029003957,333.80645753746694,37.00209182327836,87.0,87.0,3.0,食品饮料,A,Large,食品饮料,进口食品,进口食品_3,中心仓,华东
905.9146341463414,5.0,5.4573170731707314,166.0,3.574256363396208,12.775308551278284,6.523620021766983,17.0,17.0,0.0,食品饮料,A,Large,食品饮料,粮油调味,粮油调味_1,中心仓,华东
9013.0,53.5,54.295180722891565,166.0,19.16141582171423,367.1598562926404,57.57713527107871,99.0,99.0,5.0,食品饮料,A,Large,食品饮料,进口食品,进口食品_2,中心仓,华东
2053.369696969697,10.5,12.369696969696973,166.0,8.748303961219138,76.53282219788245,15.150650986674233,39.0,39.0,0.0,食品饮料,A,Large,食品饮料,进口食品,进口食品_1,中心仓,华东
3641.878048780488,18.5,21.939024390243905,166.0,14.974957055654263,224.24933881868935,26.56257009429634,68.0,68.0,1.0,食品饮料,A,Large,家庭清洁/纸品,家庭环境清洁,家庭环境清洁_3,中心仓,华东
523.4601226993865,3.0,3.1533742331288344,166.0,2.612718710706489,6.826299061275778,4.095127362541565,12.0,12.0,0.0,食品饮料,A,Large,食品饮料,进口食品,进口食品_1,中心仓,华东
2839.207317073171,15.0,17.103658536585368,166.0,10.58051112621864,111.94721569203644,20.111746593176484,51.0,51.0,0.0,食品饮料,A,Large,家庭清洁/纸品,家庭环境清洁,家庭环境清洁_1,中心仓,华东
6032.358024691358,30.5,36.33950617283951,166.0,20.075209065888192,403.0140190391195,41.51594546586841,107.0,107.0,4.0,食品饮料,A,Large,食品饮料,进口食品,进口食品_1,中心仓,华东
3687.4268292682927,20.0,22.213414634146343,166.0,11.979281936312708,143.50319570966795,25.237650156426504,62.0,62.0,0.0,食品饮料,A,Large,食品饮料,粮油调味,粮油调味_2,中心仓,华东
1951.757575757576,10.5,11.757575757575758,166.0,7.50192867984548,56.27893391748815,13.947025547141632,35.0,35.0,0.0,食品饮料,A,Large,食品饮料,休闲食品,休闲食品_1,中心仓,华东
346.3456790123457,1.0,2.08641975308642,166.0,2.484639708017113,6.173434478655364,3.2444694273061905,16.0,16.0,0.0,食品饮料,A,Large,食品饮料,进口食品,进口食品_1,中心仓,华东
285.6024844720497,1.0,1.720496894409938,166.0,1.9301388305277751,3.725435905111128,2.585642177252175,8.0,8.0,0.0,食品饮料,A,Large,食品饮料,粮油调味,粮油调味_2,中心仓,华东
3294.69512195122,19.0,19.84756097560976,166.0,9.060435979958646,82.09150014692918,21.81781787501849,47.0,47.0,4.0,食品饮料,A,Large,食品饮料,进口食品,进口食品_2,中心仓,华东
2115.745454545455,12.0,12.745454545454546,166.0,7.308729345380814,53.41752464403066,14.692315549779028,38.0,38.0,0.0,食品饮料,A,Large,食品饮料,粮油调味,粮油调味_2,中心仓,华东
5665.256097560976,33.0,34.12804878048781,166.0,15.742718909014782,247.83319864825157,37.58399808710625,85.0,85.0,3.0,食品饮料,A,Large,家庭清洁/纸品,家庭环境清洁,家庭环境清洁_4,中心仓,华东
718.6585365853658,3.0,4.329268292682927,166.0,3.942523435227749,15.54349103732001,5.855429530559629,17.0,17.0,0.0,食品饮料,A,Large,食品饮料,进口食品,进口食品_2,中心仓,华东
2177.4691358024693,1.5,13.117283950617283,166.0,23.5408861966009,554.1733229213148,26.94877476180386,128.0,128.0,0.0,食品饮料,A,Large,食品饮料,进口食品,进口食品_8,中心仓,华东
573.9146341463414,2.0,3.4573170731707314,166.0,3.916832088757348,15.341573611519248,5.2244248445122725,18.0,18.0,0.0,食品饮料,A,Large,食品饮料,进口食品,进口食品_9,中心仓,华东
5462.0,31.0,32.903614457831324,166.0,13.914640342148886,193.6172158513573,35.724852137426176,74.0,74.0,1.0,食品饮料,A,Large,食品饮料,进口食品,进口食品_6,中心仓,华东
1616.4756097560976,10.0,9.73780487804878,166.0,5.902687569294125,34.841720540699384,11.387122743856326,30.0,30.0,0.0,食品饮料,A,Large,食品饮料,休闲食品,休闲食品_2,中心仓,华东
1174.2208588957055,6.0,7.073619631901841,166.0,5.298963620208791,28.079015448296254,8.838275292449504,27.0,27.0,0.0,食品饮料,A,Large,食品饮料,粮油调味,粮油调味_2,中心仓,华东
2081.539393939394,8.0,12.53939393939394,166.0,10.929399375960264,119.4517707192406,16.633946347350953,46.0,46.0,0.0,食品饮料,A,Large,食品饮料,进口食品,进口食品_5,中心仓,华东
7084.3536585365855,41.0,42.676829268292686,166.0,15.980762522185197,255.38477079047897,45.570785896070326,87.0,87.0,3.0,食品饮料,A,Large,食品饮料,进口食品,进口食品_1,中心仓,华东
892.1226993865031,4.0,5.374233128834356,166.0,5.232067353351509,27.37452879000666,7.500460686722341,22.0,22.0,0.0,食品饮料,A,Large,食品饮料,进口食品,进口食品_1,中心仓,华东
