qty__sum_values,qty__median,qty__mean,qty__length,qty__standard_deviation,qty__variance,qty__root_mean_square,qty__maximum,qty__absolute_maximum,qty__minimum,seller_category,inventory_category,seller_level,category1,category2,category3,warehouse _category,warehouse _region
13623.75,283.0,302.75,45.0,256.8966177710836,65995.87222222223,397.0559591823578,907.0,907.0,0.0,数码,C,Large,手机通讯,手机配件,手机配件_7,中心仓,华东
1422.0,29.0,33.06976744186046,43.0,27.33291341514604,747.0881557598703,42.90335271769101,106.0,106.0,0.0,数码,C,Large,手机通讯,手机配件,手机配件_7,中心仓,华东
456.37209302325584,7.0,10.372093023255816,44.0,11.222994365898876,125.95560253699792,15.281881959368414,44.0,44.0,0.0,数码,C,Large,手机通讯,手机配件,手机配件_7,区域仓,华南
219.8709677419355,5.0,6.870967741935484,32.0,7.809217052159706,60.983870967741936,10.401637788274495,36.0,36.0,0.0,数码,C,Large,手机通讯,手机配件,手机配件_7,区域仓,华南
176.0,4.0,5.5,32.0,5.595757321399848,31.3125,7.846177413237608,21.0,21.0,0.0,数码,C,Large,手机通讯,手机配件,手机配件_7,区域仓,华南
467.3529411764706,9.0,13.352941176470589,35.0,14.991201901574854,224.73613445378152,20.07578572599501,57.0,57.0,0.0,数码,C,Large,手机通讯,手机配件,手机配件_7,区域仓,华北
309.375,8.0,9.375,33.0,8.685585411438536,75.43939393939394,12.780063338629974,40.0,40.0,0.0,数码,C,Large,手机通讯,手机配件,手机配件_7,区域仓,华北
240.51612903225805,4.0,7.516129032258064,32.0,9.810297420765131,96.24193548387098,12.358565091199848,44.0,44.0,0.0,数码,C,Large,手机通讯,手机配件,手机配件_7,区域仓,华北
95.4074074074074,2.0,3.4074074074074074,28.0,4.311606091695656,18.58994708994709,5.495486541699648,14.0,14.0,0.0,数码,C,Large,手机通讯,手机配件,手机配件_7,区域仓,华北
441.8181818181818,8.0,9.818181818181818,45.0,7.677594320192657,58.94545454545455,12.463633048205912,33.0,33.0,0.0,数码,C,Large,手机通讯,手机配件,手机配件_8,区域仓,西南
356.2857142857143,7.0,8.285714285714285,43.0,7.549174340455475,56.99003322259136,11.2090630494739,24.0,24.0,0.0,数码,C,Large,手机通讯,手机配件,手机配件_7,区域仓,西南
