qty__sum_values,qty__median,qty__mean,qty__length,qty__standard_deviation,qty__variance,qty__root_mean_square,qty__maximum,qty__absolute_maximum,qty__minimum,seller_category,inventory_category,seller_level,category1,category2,category3,warehouse _category,warehouse _region
89.0,5.0,8.090909090909092,11.0,9.78360916351746,95.7190082644628,12.69574015888078,29.0,29.0,0.0,食品饮料,A,Large,食品饮料,进口食品,饮料冲调_1,中心仓,华东
95.0,7.0,8.636363636363637,11.0,3.4973425566675176,12.231404958677688,9.317627477967866,15.0,15.0,5.0,食品饮料,A,Large,食品饮料,粮油调味,粮油调味_2,中心仓,华东
89.0,8.0,8.090909090909092,11.0,2.6783490659374976,7.1735537190082646,8.522696969643098,12.0,12.0,3.0,食品饮料,A,Large,食品饮料,饮料冲调,饮料冲调_1,中心仓,华东
695.0,46.0,63.18181818181818,11.0,29.035458516091484,843.0578512396695,69.53416426476987,132.0,132.0,32.0,食品饮料,A,Large,家庭清洁/纸品,家庭环境清洁,家庭环境清洁_4,中心仓,华东
61.0,4.0,5.545454545454546,11.0,3.394209945926267,11.520661157024794,6.50174801670499,12.0,12.0,2.0,食品饮料,A,Large,食品饮料,进口食品,进口食品_1,中心仓,华东
115.0,10.0,10.454545454545457,11.0,6.125411101062915,37.5206611570248,12.116855277595,24.0,24.0,0.0,食品饮料,A,Large,食品饮料,粮油调味,粮油调味_2,中心仓,华东
60.0,5.0,5.454545454545454,11.0,3.367319850445843,11.338842975206612,6.410219114110617,12.0,12.0,1.0,食品饮料,A,Large,食品饮料,粮油调味,粮油调味_2,中心仓,华东
679.0,66.0,61.72727272727273,11.0,20.387567107479587,415.6528925619836,65.00699263086311,92.0,92.0,30.0,食品饮料,A,Large,食品饮料,进口食品,进口食品_4,中心仓,华东
56.0,4.0,5.090909090909091,11.0,5.035411790591356,25.355371900826448,7.16049769727826,15.0,15.0,0.0,食品饮料,A,Large,食品饮料,进口食品,进口食品_5,中心仓,华东
46.0,4.0,4.181818181818182,11.0,2.8225772175018227,7.966942148760331,5.04524979109513,10.0,10.0,1.0,食品饮料,A,Large,食品饮料,进口食品,进口食品_1,中心仓,华东
625.0,57.0,56.81818181818182,11.0,21.268064757104643,452.33057851239664,60.66824839762859,107.0,107.0,29.0,食品饮料,A,Large,食品饮料,进口食品,进口食品_3,中心仓,华东
60.0,5.0,5.454545454545454,11.0,3.939627032730991,15.520661157024792,6.728501116350303,13.0,13.0,1.0,食品饮料,A,Large,食品饮料,进口食品,进口食品_1,中心仓,华东
19.0,1.0,1.7272727272727273,11.0,1.6006197146962735,2.56198347107438,2.354878881270658,5.0,5.0,0.0,食品饮料,A,Large,食品饮料,进口食品,进口食品_1,中心仓,华东
147.0,14.0,13.363636363636363,11.0,4.995866059648759,24.958677685950416,14.266935709725988,21.0,21.0,5.0,食品饮料,A,Large,食品饮料,进口食品,进口食品_1,中心仓,华东
